run	commit	dataset	score	precision	recall	true_positive	false_positive	false_negative	cost	budget_cost_usd	duration_seconds	result_status	cost_status	cost_is_final	execution_mode
1	0f4b64f	dev-19k	0.871287	0.893401	0.866995	176	21	27	0.242252	0.00468660	13.035043	complete	complete	true	threaded
2	0f4b64f	dev-19k	0.925325	0.875576	0.935961	190	27	13	0.250005	0.00483660	10.540438	complete	complete	true	threaded
3	0f4b64f	dev-19k	0.863487	0.870647	0.862069	175	26	28	0.234932	0.00454500	12.373779	complete	complete	true	threaded
4	0f4b64f	dev-19k	0.811083	0.914773	0.793103	161	15	42	0.233102	0.00450960	10.583427	complete	complete	true	threaded
5	0f4b64f	dev-19k	0.858553	0.865672	0.857143	174	27	29	0.234932	0.00454500	10.796064	complete	complete	true	threaded
6	0f4b64f	dev-87k	0.817797	0.853982	0.810924	193	33	45	0.147105	0.01286490	15.402473	complete	complete	true	threaded
7	0f4b64f	dev-87k	0.877437	0.853659	0.882353	210	36	28	0.119689	0.01046730	11.119476	complete	complete	true	threaded
8	0f4b64f	dev-87k	0.810811	0.879630	0.798319	190	26	48	0.114818	0.01004130	9.830305	complete	complete	true	threaded
9	0f4b64f	dev-87k	0.822443	0.885321	0.810924	193	25	45	0.130454	0.01140870	10.671311	complete	complete	true	threaded
10	0f4b64f	dev-87k	0.788927	0.745098	0.798319	190	65	48	0.147736	0.01292010	16.342707	complete	complete	true	threaded
11	0f4b64f	dev-202k	0.748279	0.857895	0.729633	815	135	302	0.187253	0.03781860	12.297411	complete	complete	true	threaded
12	0f4b64f	dev-202k	0.772313	0.845464	0.759176	848	155	269	0.204427	0.04128720	14.085700	complete	complete	true	threaded
13	0f4b64f	dev-202k	0.753778	0.851967	0.736795	823	143	294	0.223866	0.04521300	13.431221	complete	complete	true	threaded
14	0f4b64f	dev-202k	0.757104	0.859521	0.739481	826	135	291	0.214698	0.04336140	13.201263	complete	complete	true	threaded
15	0f4b64f	dev-202k	0.759957	0.857438	0.743062	830	138	287	0.220431	0.04451940	13.822792	complete	complete	true	threaded
